Adams	 Illinois	65,737	855	Quincy, IL-MO Micropolitan Statistical Area
Alexander	 Illinois	5,240	236	Cape Girardeau, MO-IL Metropolitan Statistical Area
Bond	 Illinois	16,737	380	St. Louis, MO-IL Metropolitan Statistical Area
Boone	 Illinois	53,448	280	Rockford, IL Metropolitan Statistical Area
Brown	 Illinois	6,244	305	
Bureau	 Illinois	33,244	869	Ottawa, IL Micropolitan Statistical Area
Calhoun	 Illinois	4,437	253	St. Louis, MO-IL Metropolitan Statistical Area
Carroll	 Illinois	15,702	445	
Cass	 Illinois	13,042	375	
Champaign	 Illinois	205,865	996	Champaign-Urbana, IL Metropolitan Statistical Area
Christian	 Illinois	34,032	709	Taylorville, IL Micropolitan Statistical Area
Clark	 Illinois	15,455	501	
Clay	 Illinois	13,288	468	
Clinton	 Illinois	36,899	474	St. Louis, MO-IL Metropolitan Statistical Area
Coles	 Illinois	46,863	508	Charleston-Mattoon, IL Micropolitan Statistical Area
Cook	 Illinois	5,275,541	944	Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area
Crawford	 Illinois	18,679	443	
Cumberland	 Illinois	10,450	345	Charleston-Mattoon, IL Micropolitan Statistical Area
DeKalb	 Illinois	100,420	631	Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area
DeWitt	 Illinois	15,516	397	
Douglas	 Illinois	19,740	416	
DuPage	 Illinois	932,877	327	Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area
Edgar	 Illinois	16,866	623	
Edwards	 Illinois	6,245	222	
Effingham	 Illinois	34,668	478	Effingham, IL Micropolitan Statistical Area
Fayette	 Illinois	21,488	716	
Ford	 Illinois	13,534	485	
Franklin	 Illinois	37,804	408	
Fulton	 Illinois	33,609	865	Peoria, IL Metropolitan Statistical Area
Gallatin	 Illinois	4,946	322	
Greene	 Illinois	11,985	543	
Grundy	 Illinois	52,533	418	Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area
Hamilton	 Illinois	7,993	434	
Hancock	 Illinois	17,620	793	Fort Madison-Keokuk, IA-IL-MO Micropolitan Statistical Area
Hardin	 Illinois	3,649	177	
Henderson	 Illinois	6,387	378	Burlington, IA-IL Micropolitan Statistical Area
Henry	 Illinois	49,284	822	Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area
Iroquois	 Illinois	27,077	1117	
Jackson	 Illinois	52,974	584	Carbondale-Marion, IL Metropolitan Statistical Area
Jasper	 Illinois	9,287	494	
Jefferson	 Illinois	37,113	571	Mount Vernon, IL Micropolitan Statistical Area
Jersey	 Illinois	21,512	369	St. Louis, MO-IL Metropolitan Statistical Area
Jo Daviess	 Illinois	22,035	600	
Johnson	 Illinois	13,308	343	Carbondale-Marion, IL Metropolitan Statistical Area
Kane	 Illinois	516,522	519	Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area
Kankakee	 Illinois	107,502	676	Kankakee, IL Metropolitan Statistical Area
Kendall	 Illinois	131,869	320	Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area
Knox	 Illinois	49,967	716	Galesburg, IL Micropolitan Statistical Area
Lake	 Illinois	714,342	443	Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area
LaSalle	 Illinois	109,658	1135	Ottawa, IL Micropolitan Statistical Area
Lawrence	 Illinois	15,280	372	
Lee	 Illinois	34,145	724	Dixon, IL Micropolitan Statistical Area
Livingston	 Illinois	35,815	1043	Pontiac, IL Micropolitan Statistical Area
Logan	 Illinois	27,987	618	Lincoln, IL Micropolitan Statistical Area
McDonough	 Illinois	27,238	580	Macomb, IL Micropolitan Statistical Area
McHenry	 Illinois	310,229	862	Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area
McLean	 Illinois	170,954	1186	Bloomington, IL Metropolitan Statistical Area
Macon	 Illinois	103,998	572	Decatur, IL Metropolitan Statistical Area
Macoupin	 Illinois	44,967	386	St. Louis, MO-IL Metropolitan Statistical Area
Madison	 Illinois	265,859	539	St. Louis, MO-IL Metropolitan Statistical Area
Marion	 Illinois	37,729	237	Centralia, IL Micropolitan Statistical Area
Marshall	 Illinois	11,742	589	Peoria, IL Metropolitan Statistical Area
Mason	 Illinois	13,086	603	
Massac	 Illinois	14,169	1183	Paducah, KY-IL Micropolitan Statistical Area
Menard	 Illinois	12,297	314	Springfield, IL Metropolitan Statistical Area
Mercer	 Illinois	15,699	561	Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area
Monroe	 Illinois	34,962	385	St. Louis, MO-IL Metropolitan Statistical Area
Montgomery	 Illinois	28,288	703	
Morgan	 Illinois	32,915	568	Jacksonville, IL Micropolitan Statistical Area
Moultrie	 Illinois	14,526	335	
Ogle	 Illinois	51,788	758	Rochelle, IL Micropolitan Statistical Area
Peoria	 Illinois	181,830	618	Peoria, IL Metropolitan Statistical Area
Perry	 Illinois	20,945	441	
Piatt	 Illinois	16,673	439	Champaign-Urbana, IL Metropolitan Statistical Area
Pike	 Illinois	14,739	831	
Pope	 Illinois	3,763	368	
Pulaski	 Illinois	5,193	199	
Putnam	 Illinois	5,637	160	Ottawa, IL Micropolitan Statistical Area
Randolph	 Illinois	30,163	575	
Richland	 Illinois	15,813	360	
Rock Island	 Illinois	144,672	427	Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area
St. Clair	 Illinois	257,400	379	St. Louis, MO-IL Metropolitan Statistical Area
Saline	 Illinois	23,768	868	
Sangamon	 Illinois	196,343	437	Springfield, IL Metropolitan Statistical Area
Schuyler	 Illinois	6,902	250	
Scott	 Illinois	4,949	758	Jacksonville, IL Micropolitan Statistical Area
Shelby	 Illinois	20,990	657	
Stark	 Illinois	5,400	288	Peoria, IL Metropolitan Statistical Area
Stephenson	 Illinois	44,630	564	Freeport, IL Micropolitan Statistical Area
Tazewell	 Illinois	131,343	646	Peoria, IL Metropolitan Statistical Area
Union	 Illinois	17,244	413	
Vermilion	 Illinois	74,188	898	Danville, IL Metropolitan Statistical Area
Wabash	 Illinois	11,361	223	
Warren	 Illinois	16,835	542	
Washington	 Illinois	13,761	562	
Wayne	 Illinois	16,179	713	
White	 Illinois	13,877	494	
Whiteside	 Illinois	55,691	684	Sterling, IL Micropolitan Statistical Area
Will	 Illinois	696,355	835	Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area
Williamson	 Illinois	67,153	420	Carbondale-Marion, IL Metropolitan Statistical Area
Winnebago	 Illinois	285,350	513	Rockford, IL Metropolitan Statistical Area
Woodford	 Illinois	38,467	527	Peoria, IL Metropolitan Statistical Area
