Aitkin	 Minnesota	15,697	1819.3	
Anoka	 Minnesota	363,887	423.61	Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area
Becker	 Minnesota	35,183	1310.42	
Beltrami	 Minnesota	46,228	2505.27	Bemidji, MN Micropolitan Statistical Area
Benton	 Minnesota	41,379	408.28	St. Cloud, MN Metropolitan Statistical Area
Big Stone	 Minnesota	5,166	496.95	
Blue Earth	 Minnesota	69,112	752.36	Mankato-North Mankato, MN Metropolitan Statistical Area
Brown	 Minnesota	25,912	610.86	New Ulm, MN Micropolitan Statistical Area
Carlton	 Minnesota	36,207	860.33	Duluth, MN-WI Metropolitan Statistical Area
Carver	 Minnesota	106,922	357.04	Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area
Cass	 Minnesota	30,066	2017.6	Brainerd, MN Micropolitan Statistical Area
Chippewa	 Minnesota	12,598	582.8	
Chisago	 Minnesota	56,621	417.63	Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area
Clay	 Minnesota	65,318	1045.24	Fargo, ND-MN Metropolitan Statistical Area
Clearwater	 Minnesota	8,524	994.71	
Cook	 Minnesota	5,600	1450.6	
Cottonwood	 Minnesota	11,517	639.99	
Crow Wing	 Minnesota	66,123	996.57	Brainerd, MN Micropolitan Statistical Area
Dakota	 Minnesota	439,882	569.58	Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area
Dodge	 Minnesota	20,867	439.5	Rochester, MN Metropolitan Statistical Area
Douglas	 Minnesota	39,006	634.32	Alexandria, MN Micropolitan Statistical Area
Faribault	 Minnesota	13,921	713.63	
Fillmore	 Minnesota	21,228	861.25	Rochester, MN Metropolitan Statistical Area
Freeborn	 Minnesota	30,895	707.64	Albert Lea, MN Micropolitan Statistical Area
Goodhue	 Minnesota	47,582	758.27	Red Wing, MN Micropolitan Statistical Area
Grant	 Minnesota	6,074	546.41	
Hennepin	 Minnesota	1,281,565	556.62	Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area
Houston	 Minnesota	18,843	558.41	La Crosse-Onalaska, WI-MN Metropolitan Statistical Area
Hubbard	 Minnesota	21,344	922.46	
Isanti	 Minnesota	41,135	439.07	Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area
Itasca	 Minnesota	45,014	2665.06	Grand Rapids, MN Micropolitan Statistical Area
Jackson	 Minnesota	9,989	701.69	
Kanabec	 Minnesota	16,032	524.93	
Kandiyohi	 Minnesota	43,732	796.06	Willmar, MN Micropolitan Statistical Area
Kittson	 Minnesota	4,207	1097.08	
Koochiching	 Minnesota	12,062	3102.36	
Lac qui Parle	 Minnesota	6,719	764.87	
Lake	 Minnesota	10,905	2099.16	Duluth, MN-WI Metropolitan Statistical Area
Lake of the Woods	 Minnesota	3,763	1296.7	
Le Sueur	 Minnesota	28,674	448.5	Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area
Lincoln	 Minnesota	5,640	537.03	
Lyon	 Minnesota	25,269	714.17	Marshall, MN Micropolitan Statistical Area
McLeod	 Minnesota	36,771	491.91	Hutchinson, MN Micropolitan Statistical Area
Mahnomen	 Minnesota	5,411	556.14	
Marshall	 Minnesota	9,040	1772.24	
Martin	 Minnesota	20,025	709.34	Fairmont, MN Micropolitan Statistical Area
Meeker	 Minnesota	23,400	608.54	
Mille Lacs	 Minnesota	26,459	574.47	Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area
Morrison	 Minnesota	34,010	1124.5	
Mower	 Minnesota	40,029	711.5	Austin, MN Micropolitan Statistical Area
Murray	 Minnesota	8,179	704.43	
Nicollet	 Minnesota	34,454	452.29	Mankato-North Mankato, MN Metropolitan Statistical Area
Nobles	 Minnesota	22,290	715.39	Worthington, MN Micropolitan Statistical Area
Norman	 Minnesota	6,441	876.27	
Olmsted	 Minnesota	162,847	653.01	Rochester, MN Metropolitan Statistical Area
Otter Tail	 Minnesota	60,081	1979.71	Fergus Falls, MN Micropolitan Statistical Area
Pennington	 Minnesota	13,992	616.54	
Pine	 Minnesota	28,876	1411.04	
Pipestone	 Minnesota	9,424	465.89	
Polk	 Minnesota	31,192	1970.37	Grand Forks, ND-MN Metropolitan Statistical Area
Pope	 Minnesota	11,308	670.14	
Ramsey	 Minnesota	552,352	155.78	Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area
Red Lake	 Minnesota	3,935	432.43	
Redwood	 Minnesota	15,425	879.73	
Renville	 Minnesota	14,723	982.92	
Rice	 Minnesota	67,097	497.57	Faribault-Northfield, MN Micropolitan Statistical Area
Rock	 Minnesota	9,704	482.61	
Roseau	 Minnesota	15,331	1662.51	
St. Louis	 Minnesota	200,231	6225.16	Duluth, MN-WI Metropolitan Statistical Area
Scott	 Minnesota	150,928	356.68	Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area
Sherburne	 Minnesota	97,183	436.3	Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area
Sibley	 Minnesota	14,836	588.65	
Stearns	 Minnesota	158,292	1344.52	St. Cloud, MN Metropolitan Statistical Area
Steele	 Minnesota	37,406	429.55	Owatonna, MN Micropolitan Statistical Area
Stevens	 Minnesota	9,671	562.06	
Swift	 Minnesota	9,838	743.53	
Todd	 Minnesota	25,262	942.02	
Traverse	 Minnesota	3,360	574.09	
Wabasha	 Minnesota	21,387	525.01	Rochester, MN Metropolitan Statistical Area
Wadena	 Minnesota	14,065	535.02	
Waseca	 Minnesota	18,968	432.25	
Washington	 Minnesota	267,568	391.7	Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area
Watonwan	 Minnesota	11,253	434.51	
Wilkin	 Minnesota	6,506	751.43	Wahpeton, ND-MN Micropolitan Statistical Area
Winona	 Minnesota	49,671	626.3	Winona, MN Micropolitan Statistical Area
Wright	 Minnesota	141,337	660.5	Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area
Yellow Medicine	 Minnesota	9,528	757.96	
