Adair	 Missouri	25,314	568	Kirksville, MO Micropolitan Statistical Area
Andrew	 Missouri	18,135	435	St. Joseph, MO-KS Metropolitan Statistical Area
Atchison	 Missouri	5,305	545	
Audrain	 Missouri	24,962	693	Mexico, MO Micropolitan Statistical Area
Barry	 Missouri	34,534	779	
Barton	 Missouri	11,637	594	
Bates	 Missouri	16,042	848	Kansas City, MO-KS Metropolitan Statistical Area
Benton	 Missouri	19,394	706	
Bollinger	 Missouri	10,567	621	Cape Girardeau, MO-IL Metropolitan Statistical Area
Boone	 Missouri	183,610	685	Columbia, MO Metropolitan Statistical Area
Buchanan	 Missouri	84,793	410	St. Joseph, MO-KS Metropolitan Statistical Area
Butler	 Missouri	42,130	698	Poplar Bluff, MO Micropolitan Statistical Area
Caldwell	 Missouri	8,815	429	Kansas City, MO-KS Metropolitan Statistical Area
Callaway	 Missouri	44,283	839	Jefferson City, MO Metropolitan Statistical Area
Camden	 Missouri	42,745	655	
Cape Girardeau	 Missouri	81,710	579	Cape Girardeau, MO-IL Metropolitan Statistical Area
Carroll	 Missouri	8,495	695	
Carter	 Missouri	5,202	508	
Cass	 Missouri	107,824	699	Kansas City, MO-KS Metropolitan Statistical Area
Cedar	 Missouri	14,188	476	
Chariton	 Missouri	7,408	756	
Christian	 Missouri	88,842	563	Springfield, MO Metropolitan Statistical Area
Clark	 Missouri	6,634	507	Fort Madison-Keokuk, IA-IL-MO Micropolitan Statistical Area
Clay	 Missouri	253,335	396	Kansas City, MO-KS Metropolitan Statistical Area
Clinton	 Missouri	21,184	419	Kansas City, MO-KS Metropolitan Statistical Area
Cole	 Missouri	77,279	392	Jefferson City, MO Metropolitan Statistical Area
Cooper	 Missouri	17,103	565	Columbia, MO Metropolitan Statistical Area
Crawford	 Missouri	23,056	743	
Dade	 Missouri	7,569	490	
Dallas	 Missouri	17,071	542	Springfield, MO Metropolitan Statistical Area
Daviess	 Missouri	8,430	567	
DeKalb	 Missouri	11,029	424	St. Joseph, MO-KS Metropolitan Statistical Area
Dent	 Missouri	14,421	754	
Douglas	 Missouri	11,578	815	
Dunklin	 Missouri	28,283	546	Kennett, MO Micropolitan Statistical Area
Franklin	 Missouri	104,682	922	St. Louis, MO-IL Metropolitan Statistical Area
Gasconade	 Missouri	14,794	520	
Gentry	 Missouri	6,162	492	
Greene	 Missouri	298,915	675	Springfield, MO Metropolitan Statistical Area
Grundy	 Missouri	9,808	436	
Harrison	 Missouri	8,157	725	
Henry	 Missouri	21,946	702	
Hickory	 Missouri	8,279	399	
Holt	 Missouri	4,223	462	
Howard	 Missouri	10,151	466	Columbia, MO Metropolitan Statistical Area
Howell	 Missouri	39,750	928	West Plains, MO Micropolitan Statistical Area
Iron	 Missouri	9,537	551	
Jackson	 Missouri	717,204	605	Kansas City, MO-KS Metropolitan Statistical Area
Jasper	 Missouri	122,761	640	Joplin, MO Metropolitan Statistical Area
Jefferson	 Missouri	226,739	657	St. Louis, MO-IL Metropolitan Statistical Area
Johnson	 Missouri	54,013	831	Warrensburg, MO Micropolitan Statistical Area
Knox	 Missouri	3,744	506	
Laclede	 Missouri	36,039	766	Lebanon, MO Micropolitan Statistical Area
Lafayette	 Missouri	32,984	629	Kansas City, MO-KS Metropolitan Statistical Area
Lawrence	 Missouri	38,001	613	
Lewis	 Missouri	10,032	505	Quincy, IL-MO Micropolitan Statistical Area
Lincoln	 Missouri	59,574	630	St. Louis, MO-IL Metropolitan Statistical Area
Linn	 Missouri	11,874	620	
Livingston	 Missouri	14,557	535	
McDonald	 Missouri	23,303	804	
Macon	 Missouri	15,209	497	
Madison	 Missouri	12,626	528	
Maries	 Missouri	8,432	438	
Marion	 Missouri	28,525	540	Hannibal, MO Micropolitan Statistical Area
Mercer	 Missouri	3,538	454	
Miller	 Missouri	24,722	592	
Mississippi	 Missouri	12,577	413	
Moniteau	 Missouri	15,473	417	Jefferson City, MO Metropolitan Statistical Area
Monroe	 Missouri	8,666	646	
Montgomery	 Missouri	11,322	539	
Morgan	 Missouri	21,006	598	
New Madrid	 Missouri	16,434	678	
Newton	 Missouri	58,648	626	Joplin, MO Metropolitan Statistical Area
Nodaway	 Missouri	21,241	877	Maryville, MO Micropolitan Statistical Area
Oregon	 Missouri	8,635	792	
Osage	 Missouri	13,274	606	Jefferson City, MO Metropolitan Statistical Area
Ozark	 Missouri	8,553	747	
Pemiscot	 Missouri	15,661	493	
Perry	 Missouri	18,956	475	
Pettis	 Missouri	42,980	685	Sedalia, MO Micropolitan Statistical Area
Phelps	 Missouri	44,638	673	Rolla, MO Micropolitan Statistical Area
Pike	 Missouri	17,587	673	
Platte	 Missouri	106,718	420	Kansas City, MO-KS Metropolitan Statistical Area
Polk	 Missouri	31,519	637	Springfield, MO Metropolitan Statistical Area
Pulaski	 Missouri	53,955	547	Fort Leonard Wood, MO Micropolitan Statistical Area
Putnam	 Missouri	4,681	518	
Ralls	 Missouri	10,355	471	Hannibal, MO Micropolitan Statistical Area
Randolph	 Missouri	24,716	482	Moberly, MO Micropolitan Statistical Area
Ray	 Missouri	23,158	570	Kansas City, MO-KS Metropolitan Statistical Area
Reynolds	 Missouri	6,096	811	
Ripley	 Missouri	10,679	630	Poplar Bluff, MO Micropolitan Statistical Area
St. Charles	 Missouri	405,262	56	St. Louis, MO-IL Metropolitan Statistical Area
St. Clair	 Missouri	9,284	677	
Ste. Genevieve	 Missouri	18,479	450	
St. Francois	 Missouri	66,922	508	Farmington, MO Micropolitan Statistical Area
St. Louis	 Missouri	1,004,125	61.9	St. Louis, MO-IL Metropolitan Statistical Area
Saline	 Missouri	23,333	502	Marshall, MO Micropolitan Statistical Area
Schuyler	 Missouri	4,032	756	Kirksville, MO Micropolitan Statistical Area
Scotland	 Missouri	4,716	308	
Scott	 Missouri	38,059	438	Sikeston, MO Micropolitan Statistical Area
Shannon	 Missouri	7,031	421	
Shelby	 Missouri	6,103	1004	
Stoddard	 Missouri	28,672	501	
Stone	 Missouri	31,076	827	
Sullivan	 Missouri	5,999	463	
Taney	 Missouri	56,066	651	Branson, MO Micropolitan Statistical Area
Texas	 Missouri	24,487	632	
Vernon	 Missouri	19,707	1179	
Warren	 Missouri	35,532	834	St. Louis, MO-IL Metropolitan Statistical Area
Washington	 Missouri	23,514	432	
Wayne	 Missouri	10,974	760	
Webster	 Missouri	39,085	761	Springfield, MO Metropolitan Statistical Area
Worth	 Missouri	1,973	593	
Wright	 Missouri	18,188	266	
St. Louis city	 Missouri	301,578	682	St. Louis, MO-IL Metropolitan Statistical Area
